date,DIA_RSI,DIA_SMA,IWM_RSI,IWM_SMA,QQQ_RSI,QQQ_SMA,SPY_RSI,SPY_SMA,VXX_RSI,VXX_SMA,XLB_RSI,XLB_SMA,XLE_RSI,XLE_SMA,XLF_RSI,XLF_SMA,XLI_RSI,XLI_SMA,XLK_RSI,XLK_SMA,XLP_RSI,XLP_SMA,XLRE_RSI,XLRE_SMA,XLU_RSI,XLU_SMA,XLV_RSI,XLV_SMA,XLY_RSI,XLY_SMA
2022-11-28,68.50764023760519,333.15757,54.93947428605456,182.83049999999997,54.15851020301771,279.17925,58.924119665813684,390.29325,31.25348562116848,16.875999999999998,63.45349614853471,78.4625,50.99852387657627,91.2645,64.85041271173162,34.929,66.50029359339896,97.692,56.14155420408832,128.8125,68.08888955051418,73.6491,59.268447123167554,37.462149999999994,64.35840277576405,67.917,66.33162339151023,133.4305,49.81286522369554,141.017
2022-11-29,61.70303301688899,333.70807,51.01423334762965,182.815,52.28546414322902,279.38025,55.925653781353745,390.77374999999995,33.65356447249205,16.755000000000003,59.67092870487125,78.787,52.99037212342075,91.36300000000001,59.046884622016755,35.00305,61.19067712199881,97.968,53.12411466669967,128.92649999999998,66.25889941121329,73.78909999999999,52.445170776598964,37.52755,59.71440481502482,68.04400000000001,62.1823602927096,133.6135,49.846377609146295,140.9015
2022-11-30,62.4717243735335,334.17206999999996,52.21715440710583,182.6865,50.279067159766846,279.34749999999997,55.36672818843776,391.04125,32.63118730866236,16.6555,59.67092870487125,79.06899999999999,56.60496879131115,91.37299999999999,60.689416877456914,35.07255,62.2180417263487,98.218,50.85820730626861,128.9235,65.00457508137727,73.9241,55.62513901943256,37.58455,58.2286203116644,68.163,62.60224428783597,133.767,48.9487840815686,140.64600000000002
2022-12-01,69.81263625689704,335.23657000000003,60.31825643299876,182.95204999999999,60.314502994760325,280.278,64.44225541220327,392.28475,28.744181964971474,16.519,65.91338924869082,79.50649999999999,56.813788861520194,91.43350000000001,66.75135862333124,35.197050000000004,67.3717428617158,98.6335,61.0803941996983,129.39249999999998,71.0359646723576,74.1586,63.67054688202347,37.74255,68.18678671924178,68.42850000000001,71.36679274267053,134.132,57.56515677099466,140.85999999999999
2022-12-02,60.53915653701037,336.31207,53.57091461403869,183.40605,55.48132715020746,281.5545,58.18663242021348,393.824,29.61793462894066,16.358,59.716820196167355,80.023,51.56913941502761,91.5375,57.93235399127533,35.322050000000004,61.07006152543361,99.0835,56.85404180358653,130.0505,64.58158942000955,74.4401,56.17432533136189,37.90505,59.19797006720426,68.67099999999999,63.81682395159033,134.552,52.85187402091741,141.2545
2022-12-05,62.0063462127371,337.25407,56.98359341132874,183.80304999999998,56.81288581518157,282.797,59.296118032247236,395.17150000000004,27.387660363628456,16.2275,63.00331086933334,80.442,54.3988965931103,91.481,57.29711459866772,35.41605,62.98607142712801,99.41,57.49604536437494,130.702,64.9380373498067,74.6651,55.654374522873674,38.03505,58.54183840550927,68.8545,65.68469736072988,134.94599999999997,52.727656258573774,141.476
2022-12-06,58.086090480904886,337.98557,50.583548959664434,183.96005,54.068006156359445,283.8835,55.10049920274001,396.257,27.7045640846448,16.0945,59.25199619222511,80.75500000000001,43.018900479019074,91.25450000000001,50.710107307421254,35.45805,60.59884278918674,99.6775,54.85880566405548,131.2905,64.41444146950681,74.8801,53.96379274888048,38.13355,58.706136726218865,69.03299999999999,62.84109559917783,135.304,48.06949706903371,141.6265
2022-12-07,53.18157647507706,338.319,46.189892853202174,183.93605,48.02752703485195,284.45,49.684797054037546,396.84849999999994,36.50782924287864,16.002499999999998,55.92229609812117,80.99449999999999,39.203146080233154,90.879,47.088550370168704,35.47455000000001,54.16712134457825,99.82000000000001,49.14094970464282,131.5785,60.80646177103508,75.03909999999999,50.298961535489966,38.21455,61.19061814182234,69.2945,59.699921099614734,135.5615,43.79412159260072,141.721
2022-12-08,54.985724382001635,338.7205,47.7816628722181,184.07455,49.281044788207744,285.15749999999997,51.430208559904294,397.60900000000004,37.75299324365745,15.881,57.28580776528533,81.23249999999999,44.36798392015199,90.6395,48.06282179477418,35.49805,55.471341959756984,99.98549999999999,50.07493266847939,131.9425,61.14941154273398,75.2106,52.63208808485518,38.311150000000005,58.778568340190255,69.53200000000001,63.14082167464682,135.8665,44.45193770074262,141.8935
2022-12-09,54.88607370396903,338.89300000000003,46.334538632040406,183.97055,50.09125636671471,285.49750000000006,51.25613354281025,397.95349999999996,35.979914683159876,15.775,56.773568476239554,81.354,39.0776555406516,90.345,46.22939654491599,35.47755,56.06247179362468,100.0625,51.5396410532395,132.1525,62.10174421631929,75.34360000000001,52.920580676429076,38.3574,59.679432173944704,69.69300000000001,65.06357116881263,136.122,44.982217352034304,141.92000000000002
