date,DIA,IWM,QQQ,SPY,VXX,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2010-01-05,0.007317685303177396,0.009278984559597822,0.0012944985626457955,0.007889062765848028,-0.01394384520028017,0.01478005031172029,0.016608548879018404,0.01027758275824045,0.006741199912219726,0.00689063880612445,0.00903280511212451,,-0.009314343877453496,0.002855784901357892,0.0036721790556350675
2010-01-06,-0.0010421108422619355,-0.0018802888648522087,0.00021558693626664094,0.0022929721661282773,-0.023472356185142044,0.0017590154051796245,0.007275220313251994,0.018906707681805,0.002472189145389073,-0.0025784285879444763,-0.0014998128045793603,,-0.009727703168011954,-0.008272398431565938,0.002662231189678155
2010-01-07,-0.0011380881349815442,-0.0003137254927691798,-0.004104120675959115,-0.00017619593032976302,-0.025317807984289897,0.011648355352237906,0.007055295518232374,0.004671346499293293,0.0028178954891472045,-0.010380716054560741,0.0033714210619434906,,0.005199881719752085,0.0063694482854799285,0.008274083278432369
2010-01-08,0.002748165671799748,0.0031328346425050667,-0.0034692142340113094,0.0034302333648023216,-0.019418085857101513,-0.0052249756024779605,-0.0006697923894073745,0.013884520571081837,0.012930461478991887,-0.006105557562485147,-0.005249355886143567,,-0.004548415898665805,0.009164229091123969,-0.0016493488812402367
2010-01-11,0.006884546454604645,0.013051770111487912,0.012089957277918355,0.01039446839708737,-0.04341249293531354,0.028688140653388157,0.016446919449207273,0.00915039064343403,0.022318522955695443,0.012174063398866019,-0.001504891179420388,,0.0029263555267978743,0.00502040590083239,0.005268369116760135
2010-01-12,-0.005182579326669898,-0.014303726456547278,-0.011221524743964418,-0.009692282815703284,0.012548918279708847,-0.03247878522734884,-0.023169633844084044,-0.017060781265856334,-0.004424033079144922,-0.013925377331600996,-0.0007532957041716612,,0.0048583091510763675,-0.004077157913902971,-0.00990107098271157
2010-01-13,0.004524468082120658,-0.001253525704724346,-0.0032605180499336475,-0.0001755001759506091,0.004371959208628318,-0.0020470836217249106,0.000337211266051616,-0.006640130639277639,-0.001365187925339859,-0.0008768084735344257,0.009748858612749675,,0.0012915726690516348,-0.00031431714858815284,-0.0029895388483660483
2010-01-14,0.0029112102074585343,0.005628532683097259,0.007159158465591074,0.004727727244027755,-0.007409936228705116,0.00845362853929861,0.004037690546076974,0.007962882154893984,0.004430063472792758,0.0043763745997987815,0.005210283465406847,,0.007073984483031288,0.012496257582054724,0.0043153593939190054
2010-01-15,0.0028092536501323102,0.00791991095285775,0.004314070538969946,0.0020940588753308054,-0.01945785914934097,-0.012854398440563675,0.001845173718182198,0.001980852413961066,-0.002042206291798177,0.005226492733542589,0.0,,-0.010306049352197725,0.0034092703097872577,0.0009932131258459265
2010-01-19,-0.009772676913224644,-0.011355803759847315,-0.01082027436170817,-0.009721994682070778,0.021821527310421765,-0.004715599660819966,-0.009598457121937975,-0.018642350809279718,-0.006151762394475386,-0.013558047176269425,-0.0037188588787368903,,0.0009707167887309609,0.0003093580844469465,-0.0029826037023836655
2010-01-20,0.005649732542118907,0.007326040092072881,0.006722349938353425,0.0057920302335914674,-0.04166552050869421,0.0014760150281204576,0.0010147134305463833,0.010030174359937251,-0.003434069308845553,0.007020651917222623,0.0014892035514676113,,0.0077319972833261846,0.023839759821813303,0.00033184005613954887
2010-01-21,-0.004988949962735167,-0.006700453584338701,-0.004548908526369129,-0.003155129698906688,-0.022760584238448768,-0.0038421799889281558,-0.004065046248169445,0.0033211588149269795,-0.005173317280220528,-0.005260862637730371,-0.006344488533079187,,-0.005793386013824901,-0.01215451000886234,-0.005322700523897709
2010-01-22,-0.0247445154188514,-0.018939960100921725,-0.015755249313156125,-0.02416606584718361,0.06779311129504739,-0.04822769283323925,-0.026310519474158318,-0.031663136817201995,-0.021671592641372032,-0.015504186535965312,-0.017372038084236728,,-0.015615151375356694,-0.02476140126014037,-0.01715769592484831
2010-01-25,-0.009622468181167803,-0.010894051989868547,-0.021175426233439144,-0.008942745113031515,0.03825062415238609,-0.006856891759919331,-0.012448657297791524,-0.015867873469707403,-0.0046042227609106754,-0.024402476112601577,0.008723742031174696,,-0.013201511858535842,0.002191267115656059,-0.008861680349953644
2010-01-26,-0.007155139567968944,-0.008249136951844462,-0.00248111100550774,-0.007925343236597274,0.03371820692772511,-0.012597753826644334,-0.008504657922834185,-0.014711298590311579,-0.011065613536621634,-0.00274851295334916,-0.010248713733492443,,-0.003327790092674691,-0.01385412587091594,-0.006525868943607855
2010-01-27,9.836226831319151e-05,-0.010613210896157637,0.00022581009467076334,-0.0015559931746750614,-0.0059608019631800435,-0.00795296063935913,-0.0008900757151932284,-0.008504657922834185,-0.0021559476550682528,-0.0004588208385149156,0.002667176281094817,,0.004987541511038968,-0.005404559332305459,0.006868158866511511
2010-01-28,0.009008187812551733,0.016927487521706877,0.0024805515030722897,0.009299848207507353,-0.03783715215023484,0.0025518355155480224,0.0062139569679430726,0.028763820950863918,0.007882520212269468,0.002749772585070798,0.004934532692631045,,-0.008326442776553668,0.013614267583544353,0.005801074108272601
2010-01-29,-0.010090705263143679,-0.01512346899226426,-0.0113251493570534,-0.010491361111408342,-0.002617802542078934,-0.016704532339794194,-0.010497383113841428,-0.005547864437717979,-0.011125182033973833,-0.014753610165327492,0.00037857278513849044,,-0.006374790922124398,-0.006309169193264721,-0.007856573290368655
